G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,LogS
-27180.4909,-1090.7804,267.748,9.01368,-1.57657,-0.36381,-0.79648,1.91068,-0.96898,249.2868,445.4780273,-2.81913
-27185.3713,-14.4224,292.728,5.62711,-0.69827,0.80478,-0.47885,0.51482,-1.40451,245.2804,492.2848816,-2.09
-16213.0719,5.4739,97.2087,1.33496,0,0.44538,-0.41055,0.14857,-0.41055,59.1108,231.6235657,0.84
-18992.9355,19.5481,135.828,2.54645,0,-0.22504,-0.39994,0.19745,-0.79971,108.1426,280.3762817,-0.42
-24912.8652,675.9772,210.976,5.32047,-2.26311,0.68275,-0.73711,2.02126,-1.53749,196.2208,405.4348145,-1.038
-23378.6766,73.4482,212.551,4.32356,-0.83401,0.55539,-0.53455,0.50337,-1.56269,180.206,399.1862183,-2.17
-26664.115,67.6079,281.456,2.30208,-1.18755,0.94444,-0.44723,0.43662,-1.6141,233.2664,462.1484375,-1.568
-25673.9083,-1377.4925,227.099,2.50335,-0.43274,-0.05191,-0.21658,0.09455,-0.54082,218.6391,391.8879089,-5.87
-23108.2085,-45.2976,227.151,0.0979119,0,-0.52273,-0.1001,0.0855,0,180.2488,389.6563416,-5.22
-19787.6833,132.2303,115.44,8.4877,-0.91803,0.88797,-0.50038,0.50001,-1.65067,102.0926,263.699646,-0.9
-32531.7173,26.146,414.576,1.76081,-0.39429,-0.11582,-0.39429,0.21249,-0.39429,270.4976,703.4942627,-8.400008
-17761.3976,-5.7378,118.516,0.00460291,0,0.23921,-0.3679,0.13581,-0.73558,86.1364,258.3045959,1.07
-23542.6363,214.6412,189.81,3.64549,0,-0.17014,-0.05051,0.09342,-0.10801,314.8017,325.346344,-5.054741
-18432.3557,19.2427,107.202,0.956247,0,0.16124,-0.2298,0.11768,-0.39181,89.5243,242.634552,-0.29
